Protein,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
NT,15.160004121118803,30.434580968483065,-5.8676991168386,9.97618814216412,-10.784499685399572,-4.4607446440095595,4.783958623064312,5.169304587978351,-1.5991195809589336,3.3161219769539776,-2.541641350794122,0.6010705880640514,-6.511105897115181,-3.10669980806666,2.2384982827211037
CT,10.5130675110867,-23.028640332459517,11.76062092710789,12.142950666867177,15.879562938492016,9.39412026106446,18.393082058645557,6.031560182353526,5.2768484042625765,0.9107630115233988,-1.8569895292316823,-3.945216092229355,-3.4305103478824535,-3.8700363030625438,-1.3964405850437505
NT-CT,14.109936722457535,10.290225410361652,-1.0170105275446053,6.046029831170417,2.1868098427518468,3.7346172464691234,3.836191630929691,3.6105597948654173,-7.491806514799405,2.865897623261963,-7.201976471121716,0.3544602514426318,-2.901906062471997,7.564616929624692,1.2895239780857297
NT2RepCT,7.013496530592531,-3.7908297222317144,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.9644669077261161,-0.4026804890928635,1.4849286925623781,-0.33798988970903737,-0.7947068295784809,-1.8216062466596479
A3IA,8.592079741852926,-2.700894999720614,-3.5474263230873455,-3.8229501421857237,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.0083394266238956,-0.504809568252209,-0.111406965281099,0.4582205470061594
Rep1,-14.93133750913569,10.626462693688575,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123303,-4.0145083286364,-0.4570974404299114,-2.1950310710874965
Rep2,-10.294549220962395,2.398256605534386,-0.7720577861545872,-7.6995152116571735,-4.769029754043395,2.5298140651018723,7.901531130789919,3.8769281152741755,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852
Rep3,3.025148275620806,-3.2838174947106644,16.28896937520812,12.703605065466004,-5.4047683920301814,4.946102466118192,-6.438363922006633,1.29572317808804,-1.8741528044373608,-1.6329892545859748,-0.570448115305635,-0.3167504385547408,-0.009213890874468545,1.8841691759728694,1.5905271156342273
Rep4,-2.2621140476003707,-7.302437120068611,21.887945281891298,15.711592220192331,-7.923029472594778,1.6206027286955096,-10.860135639639655,0.7351937326437078,1.117099066575539,-3.8884145116713933,0.6386759435584329,1.9710979483825042,1.794287680102411,-4.6728251387333914,1.6829550739855332
Rep5,-14.98535711971441,-9.414926272617631,-0.020092068047109824,9.91863174944586,-5.281536514007199,-3.593905460900058,-2.048338424271335,-0.8065457394857416,7.20358432022035,0.3235447505598098,4.961797586489877,-3.4972259888317616,-1.8646947473886144,6.448107707624354,-6.5257718356372525
Rep6,-29.370107445795153,-9.281007151224115,-31.34155439598554,21.34575504947485,3.643421281945994,-8.116336220441669,-0.8629506094052868,0.06479913209417244,3.823797034188203,-2.9365175577919196,2.167961357740267,-1.0683717836279936,-0.4591072009610414,2.0987639027133502,2.1411612203651402
Rep7,8.500613971555634,-1.6255694661711115,-12.361081943587601,7.960716503888192,14.72792051462265,-4.374135546165229,-4.507195505955968,8.189253992947979,-12.758772958654175,-0.039362093516228956,3.2392470508928257,1.3544147335159502,3.012844406417953,-2.742725455888566,-0.16362684209075282
Rep8,-12.646596505025174,-0.9296129682428182,12.40518871365486,-6.065317929193772,-1.0503567613517792,-4.829462188834086,2.566160810206628,3.002882966414107,-5.997890132959959,7.394359981831291,13.45404249528311,-5.80879267221949,-0.2940131331622305,-0.12520529875050332,2.0014402848796253
Rep9,3.025148275620806,-3.283817494710663,16.28896937520812,12.703605065466004,-5.4047683920301814,4.946102466118192,-6.438363922006626,1.2957231780880387,-1.874152804437359,-1.632989254585976,-0.5704481153056348,-0.3167504385547377,-0.009213890874468805,1.8841691759728716,1.5905271156342282
Rep10,-5.516636741711054,-20.344104344581645,6.015878488893385,-5.30146880120461,-13.253587076293396,-12.854188897624018,5.659296185765517,7.23395672155395,-2.9647325653060634,4.159778974791616,-4.051789659300833,4.766512931232971,1.4540575453026097,-1.6296951364578383,-5.308037584488372
Rep11,-2.8610106362860415,-16.775434337131134,6.535514916255774,-6.4099657986643175,-7.5673994229162,-19.49582526959529,2.8415208422484173,1.6668305692675764,-1.2382331133535747,2.3046571919506254,-3.4479441443025247,-0.13023038733601158,-0.6055290531551695,1.7708718465089965,5.046596377401391
Rep12,-6.521065779761213,9.154384378838044,7.758345551659135,-2.1716122378101685,8.160418330743608,4.165605108758064,-1.886756604843572,-2.7971053511136814,-3.645586483660826,5.402289002511376,3.4146612272023757,3.7901289013082446,-3.0233649822857647,1.7442170158155705,-1.5294699990985974
Rep13,-48.03682035670312,5.387262749288443,-2.6540454381401393,8.57114611088851,0.9976546811154473,2.30787525761126,1.4863851481495607,-8.657856073256754,6.613528917355073,11.515139768768368,-3.8224000130177274,4.332515176595215,2.020864127000296,-2.2914416002844744,1.3780657056786736
4A 2rep,9.438154781976792,0.1960060768679301,-2.1179498324523744,-4.918431087805335,1.826712799482341,1.2480897124884698,0.9018626771669115,-0.0048535309946611425,-0.22531438781311203,1.4390371788588225,-1.0535912099061868,5.3482828975801215,1.0836899000725677,1.3491917981759418,0.3280553979220686
VN-NT,15.724154483053109,33.38967279930928,-2.561860884392439,5.5861507913229325,-11.841007218966293,-2.0454721904211235,5.002751817158572,6.777057461671173,7.026330674588585,0.7977757069492625,3.1167512414239176,-3.8650084351439884,5.303793969409711,-2.5424293334103534,-2.7114190998349756
VN-A3IA,8.371262116291634,0.9378648056110344,-2.5150165405278413,-2.8954687089617988,-1.3392868385399055,2.1183955724728736,-1.4555860486980317,-1.6903432102344418,2.3982093177332864,0.34792687819987506,2.17801854688896,-2.018178818173972,2.296667961254454,0.3819063513269561,-2.254294447473204
IdeS-A3IA,7.437336708978384,9.803538562329553,9.037907236529966,8.293221736252123,1.8026314196222548,-9.405670162378774,10.487059517956945,-20.927795230092098,-9.703990953506738,-7.310600907899218,-0.501824401777732,-1.3210480769933686,2.5508822856011864,0.08580990906884856,-2.735243430815054
fNT A3IA,9.056625326844276,-5.831593322942734,-2.1145081005736763,-4.732166403953891,-1.2005060167651815,-1.0921512635726571,2.3402379269028475,-5.701580143493222,0.8775179066329751,-0.6139272517676316,2.5245755292351504,-2.3415312577488483,-1.848629784826884,-0.9798037512137466,7.523421946242252
Br_MaSp2_300,-34.43723501421353,4.116991909925053,0.7076467444509584,-7.813909576296144,-1.312593386523998,4.51680992295458,0.5287526630337068,3.740545044531768,-4.362553060848165,-4.249692690675991,-3.5548062514692234,-2.2003468806183757,0.9627003806108799,-1.382207127886633,-0.044204089153963684
Br_MaSp2_400,-46.59744579919088,3.89910382243081,-3.35565332788136,-6.556269153661415,-4.353442082293982,7.078469443741436,2.4007927571982206,0.9164959887131295,-5.171344427216645,-4.309625284993896,-3.3888922901769436,-4.235268323659927,1.6777333424883105,-3.0228313637539626,1.0593882545577427
Br_MaSp2_long,-26.168792103947435,4.539550677187191,2.7462683563193644,-7.04778368895684,-0.2027486038176539,3.5798641254426795,0.40995720764543747,4.445195115962323,-3.0345963425987605,-3.983396572694345,-2.5099402067549526,-1.555461042676375,-0.40564218626186566,0.19199571875586446,-1.0181033905017132
Br_MaSp2_short,-14.109324561488654,5.1522130156846195,1.8101461244582686,-3.331989903077729,0.6580188712490678,3.420087850373377,0.7812568516532061,3.689014427440047,-2.435564949053508,-1.535227871062905,-1.5911082842009692,-0.8682770821357575,-0.1595651115092294,5.0160689395205225,-1.242957897228564
Br_MaSp4_long,-4.337380419945225,12.246369552981761,11.36365173044421,-7.4474995015335415,19.29986697154479,-13.77248747936354,-5.361691558037417,1.0081307321291846,10.634305072309536,-4.501383146536526,-1.8021418194956778,-0.26813028076197626,-0.30987999747819234,-2.699607473598173,-0.15375265767937746
Br_MaSp4_short,0.46820367725817574,12.737159034788432,9.894659127543235,-1.244029614573366,11.892935192294704,-7.9151391217527465,-3.1270881531785113,5.085327941409951,5.171952456701225,-2.770692637176434,-4.735040712796807,-0.11676069121431705,-0.21556020934259798,3.454460674698969,0.5973470568735832
pV6E3,9.216280059643264,0.12920167087503626,2.938919783692745,-2.190503112908668,4.19049417849813,5.1602021674399765,6.300191311885186,2.1119391896463617,3.4872190124121483,2.5794071963422063,1.2811677915880597,2.7500770778947237,13.019896201672523,4.195646955377573,3.313668807285274
b16-2Rep,6.989540520728906,-0.49059317967795224,-2.482323833520332,2.340997490255745,-2.397245832598292,4.034958137775866,3.8671674147056487,-1.9118088732942118,2.536903410367089,-2.233308269880119,1.8604001299537487,8.48826152420497,-0.9397681484354018,-1.4099570733921833,2.423079124342413
"50% Mcherry -A3IA, 50% A3IA",8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
NT2RepCT 0.1% MCherry,7.013496530592531,-3.7908297222317207,-4.10207740295945,-2.9692970607531466,-2.335105325810289,1.6745684623279222,-1.380365131970708,-1.2632435037397152,0.7365816290172417,-0.9644669077261137,-0.40268048909286064,1.484928692562375,-0.3379898897090361,-0.7947068295784843,-1.8216062466596408
A3I-A +0.1% Carbon Black,8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
"25% Mcherry -A3IA, 75% A3IA",8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
"12.5% Mcherry -A3IA, 87.5% A3IA",8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
NT2RepCT + 50 uM Tht,7.013496530592531,-3.7908297222317207,-4.10207740295945,-2.9692970607531466,-2.335105325810289,1.6745684623279222,-1.380365131970708,-1.2632435037397152,0.7365816290172417,-0.9644669077261137,-0.40268048909286064,1.484928692562375,-0.3379898897090361,-0.7947068295784843,-1.8216062466596408
A3IA 1 mM Imidazol,8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
Mcherry -A3IA,8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
A3IA 10 mM Imidazol,8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
A3IA + 0.3% AcZ,8.592079741852928,-2.700894999720612,-3.5474263230873455,-3.8229501421857197,-0.4673777012869073,1.8335749344424184,-2.1712090683759033,-1.6713390338342122,1.2473765574805675,1.0820051952153353,-0.7951583195080891,-2.008339426623894,-0.5048095682522081,-0.11140696528109584,0.45822054700615633
NT2RepCT -Magnetic nanoparticles,7.013496530592531,-3.7908297222317207,-4.10207740295945,-2.9692970607531466,-2.335105325810289,1.6745684623279222,-1.380365131970708,-1.2632435037397152,0.7365816290172417,-0.9644669077261137,-0.40268048909286064,1.484928692562375,-0.3379898897090361,-0.7947068295784843,-1.8216062466596408
NT2RepCT 0.1% Bri2MCherry,7.013496530592531,-3.7908297222317207,-4.10207740295945,-2.9692970607531466,-2.335105325810289,1.6745684623279222,-1.380365131970708,-1.2632435037397152,0.7365816290172417,-0.9644669077261137,-0.40268048909286064,1.484928692562375,-0.3379898897090361,-0.7947068295784843,-1.8216062466596408
NT2RepCT 0.5% Bri2MCherry,7.013496530592531,-3.7908297222317207,-4.10207740295945,-2.9692970607531466,-2.335105325810289,1.6745684623279222,-1.380365131970708,-1.2632435037397152,0.7365816290172417,-0.9644669077261137,-0.40268048909286064,1.484928692562375,-0.3379898897090361,-0.7947068295784843,-1.8216062466596408
Rep7 Tusp (30%) & NT2RepCT (70%),7.459631762881473,-3.141251645413538,-6.579778765147892,0.30970700863925865,2.783802426319594,-0.14004274022002472,-2.318414244166287,1.5725057452665943,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766
Rep7 Tusp (57%) & NT2repCT (43%),7.8611534719414955,-2.5566313762771746,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.43715716362648127,1.6732182086989793,1.4105357359059165,1.571985659083349,-1.9050774465752318,-0.8765579860553746
"20% IdeS-A3IA, 80% A3I_A",8.361131135278015,-0.20000828731058015,-1.030359611163888,-1.3997157664981532,-0.013375877105071623,-0.414274084921822,0.3604446488906734,-5.522630273085787,-0.9428969447168941,-0.5965160254075733,-0.7364915359620198,-1.8708811566977903,0.10632880251846957,-0.07196359041110724,-0.1804722485580862
5% VN-NT & A3IA,8.948683478912937,-0.8963666097691153,-3.4981480511526,-3.352495095510286,-1.036059177170877,1.6396225781992408,-1.8125110240991782,-1.248919209058945,1.536324263335968,1.0677937208020303,-0.5995628414614893,-2.101172877049899,-0.2143793913691129,-0.23295808368755913,0.29973856466409987
